,user_id,user_screen_name,user_name,sentences,personality_type
0,1468624226706137089,malibusnina,vera,['sorry cynical im istj'],ISTJ
1,715672402127007744,RuizSoriano16,Kimberly ♡'s 산 ⩜⃝ | saw ATEEZ on 01/27 & 11/16,['infp emotional leader idealistic responsible istj organized people tend finish started intp critica'],ISTJ
2,1405180005571723266,felixbbaby,luna ☆ ongoing g.o 🇲🇾,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
3,829772457015861248,stqrkthor,ashley saw skz !! ★⁵,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
4,1411685776568504321,btskzer_,Jai⁷⁺⁸★⁵,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
5,533141190,CH4NSC0LL4R_,shaz🏳️‍🌈★★★★★ (🐺🐰’s ult fan),['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
6,222327645,sidneyalesandra,Sidney,['site hermione istj one istj percy weasley grinning face smiling eye'],ISTJ
7,1475132580181774347,Anonymous_25120,Anon ★★★★★,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
8,1262301289091751937,AashiArmy7,Aashika ♡ Leeknow ★⁵,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
9,934906195,cherriesbubble,cherries♡,['hunter used istp retaking test he istj'],ISTJ
10,1595084019389145088,meowracha_z,Zari adores Chan ‎ ★⁵,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
11,535959378,jessyfreak_,GO STREAM 'IN LIFE'!! 🐰💜🍮,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
12,1361174780200841216,wayvishon,화성 - 세븐어스 • ˚₊‧꒰ა ☆ ໒꒱ ‧₊˚,['hmmm istj'],ISTJ
13,1571679626732408832,kissaus,ִֶָ,['apparently read somewhere istj one rare personality type someone also like nam'],ISTJ
14,1610566461206003713,hans_leftnipple,Lu ⋆｡° // Han’s Left Nipple //,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
15,1574065794606039040,seolar08,☁️ Clxud.b08 ☁️,['hii im clxudb looking stay moot fandom fine 03 sheher istj leo ults skz wayv'],ISTJ
16,1594620207385006086,_yujirou_stay_,Yujirou★★★★★,['hiii im looking stay moot fandom fine 01 sheher istj ults skz ateez monsta x european'],ISTJ
